Fold,Loss,TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,Precision,F1-score,AUROC,TPR,FPR
1,0.051881417632102966,15670.0,336.0,226.0,14956.0,0.9819802641868591,0.9851139783859253,0.979007872047982,0.9780277013778687,0.9815580494848067,0.998090386390686,0.985113950731129,0.02099212795201799
2,0.0575437992811203,15874.0,247.0,378.0,14689.0,0.9799602627754211,0.9749120473861694,0.9846783698281745,0.9834627509117126,0.9791687497916874,0.997576117515564,0.9749120594677109,0.015321630171825569
3,0.0553886778652668,15575.0,407.0,211.0,14994.0,0.9801840782165527,0.9861229658126831,0.9745338505819047,0.9735731482505798,0.9798078808076848,0.9980024099349976,0.9861229858599145,0.025466149418095357
4,0.0573359839618206,15865.0,380.0,282.0,14660.0,0.9787732362747192,0.9811270236968994,0.9766081871345029,0.9747340679168701,0.9779200853845641,0.9977412223815918,0.9811270244947129,0.023391812865497075
5,0.05954938754439354,15458.0,441.0,271.0,15017.0,0.9771699905395508,0.9822736978530884,0.9722624064406566,0.9714710712432861,0.9768425160996552,0.9977079033851624,0.9822736787022501,0.027737593559343354
